jpl 97
CH2O absorption and yields


	301.25	1.38	1.36	1.37   	-0.21	0.749	0.251
	303.75	4.67	4.33	4.43   	-4.73	0.753	0.247
	306.25	3.32	3.25	3.27  	-1.06	0.753	0.247
	308.75	2.27	2.22	2.24	-0.724	0.748	0.252
	311.25	0.758	0.931	0.882	2.49	0.739	0.261
	313.75	3.65	3.40	3.47	-3.64	0.724	0.276
	316.25	4.05	3.89	3.94	-2.30	0.684	0.316
	318.75	1.66	1.70	1.69	0.659	0.623	0.368
	321.25	1.24	1.13	1.16	-1.52	0.559	0.423
	323.75	0.465	0.473	0.471	0.118	0.492	0.480
	326.25	5.06	4.44	4.61	-8.86	0.420	0.550
	328.75	2.44	2.29	2.34	-2.15	0.343	0.634
	331.25	1.39	1.28	1.31	-1.53	0.259	0.697
	333.75	0.093	0.123	0.114	0.432	0.168	0.739
	336.25	0.127	0.131	0.130	0.050	0.093	0.728
	338.75	3.98	3.36	3.54	-8.96	0.033	0.667
	341.25	0.805	0.936	0.898	1.86	0.003	0.602
	343.75	1.44	1.26	1.31	-2.64	0.001	0.535
	346.25	0.004	0.071	0.052	0.957	0	0.469
	348.75	0.009	0.040	0.031	0.438	0	0.405
	351.25	0.169	0.235	0.216	0.948	0	0.337
	353.75	1.83	1.55	1.63	-4.05	0	0.265
	356.25	0.035	0.125	0.099	1.27	0	0.197
